,list_price.raw,school_district.data,living_area.data,taxes.data,baths.data,city.data,zip.data,elementary_school.data,latitude.data,square_footage.data,middle_school.data,high_school.data,longitude.data,beds.data,street.data
87,640000,Jefferson County R-1,"2,481","$2,671",2.0,Edgewater,80214,Lumberg,39.75094806,"2,481",Jefferson,Jefferson,-105.06933638,3.0,2280 Newland Street
88,639900,Denver 1,"1,815","$2,397",2.0,Denver,80205,Columbine,39.76214152,"1,815",Smiley,Manual,-104.95342952,3.0,3200 N Fillmore Street
89,639000,Denver 1,"1,380","$1,308",2.0,Denver,80204,Dora Moore,39.73188499,"1,380",Kepner,West,-104.99669136,3.0,969 Galapago Street
90,635000,Jefferson County R-1,"2,552","$3,506",4.0,Arvada,80004,Stott,39.81459716,"2,552",Oberon,Arvada West,-105.15525415,4.0,13914 W 65th Avenue
91,635000,Denver 1,"1,592","$2,734",1.0,Denver,80223,Valverde,39.71647597,"1,592",Grant,West,-104.99094132,2.0,170 W Ellsworth Avenue
92,635000,Denver 1,"2,238","$2,097",2.0,Denver,80222,Ellis,39.68185117,"2,238",Merrill,Thomas Jefferson,-104.92480095,5.0,5400 E Jewell Avenue
93,630400,Denver 1,"1,088","$1,076",2.0,Denver,80222,Bradley,39.66125776,"1,088",Hamilton,Thomas Jefferson,-104.93090455,3.0,3091 S Eudora Street
94,630000,Denver 1,"2,256","$2,290",2.0,Denver,80222,Ellis,39.68900738,"2,256",Merrill,South,-104.93626596,4.0,1515 S Birch Street
95,629000,Denver 1,"1,167","$2,162",1.0,Denver,80220,Palmer,39.73491481,"1,167",Hill,George Washington,-104.91372488,3.0,1170 Locust Street
96,628566,Adams-Arapahoe 28J,"2,542","$8,716",3.0,Aurora,80019,Vista Peak,39.78590007,"2,542",Vista Peak,Vista Peak,-104.73389429,3.0,21721 E 50th Drive
97,625000,Jefferson County R-1,"2,131","$2,385",3.0,Golden,80401,Welchester,39.73204501,"2,131",Bell,Golden,-105.18631153,3.0,16500 W 9th Avenue
98,620000,Cherry Creek 5,"2,509","$1,491",4.0,Aurora,80014,Eastridge,39.67332638,"2,509",Prairie,Overland,-104.85797391,4.0,2375 S Lansing Street
99,619900,Denver 1,"2,067","$1,487",3.0,Denver,80224,McMeen,39.68482532,"2,067",Hill,Thomas Jefferson,-104.9138141,4.0,1748 S Locust Street
