property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice
10062701,10104 Hudson Ct,Thornton,CO,80229,3,2.0,1415,2321.0,39.88089,-104.92287,Adams County 14 School District,366995.0
10062703,12774 E 31st Ave,Aurora,CO,80011,3,2.0,2180,2580.0,39.75939,-104.84033,Adams-Arapahoe 28J School District,398333.0
10062703,12774 E 31st Ave,Aurora,CO,80011,3,2.0,2180,2500.0,39.75939,-104.84033,Adams-Arapahoe 28J School District,400437.4
10062714,4338 Deephaven Ct,Denver,CO,80239,4,2.5,2247,2725.0,39.77565,-104.82321,Denver County 1 School District,410999.67
10062738,8610 Ogden St,Denver,CO,80229,3,3.0,2528,2745.0,39.85345,-104.97501,Adams 12 Five Star Schools,330000.0
10062783,5174 Sable St,Denver,CO,80239,4,2.0,1395,2342.0,39.78804,-104.82032,Denver County 1 School District,359666.67
10062799,18868 E 52nd Ave,Denver,CO,80249,2,2.5,1524,2451.0,39.79129,-104.76729,Denver County 1 School District,417966.67
10062812,10017 Beach St,Denver,CO,80260,3,2.0,1320,2330.0,39.87954,-105.01733,Adams 12 Five Star Schools,408633.33
10062813,9836 Milwaukee St,Thornton,CO,80229,4,2.0,1840,2574.0,39.87505,-104.95075,Mapleton 1 School District,404390.0
10062824,2361 Stacy Dr,Denver,CO,80221,3,2.0,1650,2350.0,39.84679,-105.01484,Westminster 50 School District,255780.0
10062824,2361 Stacy Dr,Denver,CO,80221,3,2.0,1650,2310.0,39.84679,-105.01484,Westminster 50 School District,266633.33
10062827,4258 S Pitkin St,Aurora,CO,80013,3,2.0,1650,1950.0,39.63963,-104.78793,Cherry Creek 5 School District,383324.33
10062828,19336 E Amherst Dr,Aurora,CO,80013,3,3.0,1968,2585.0,39.66596,-104.76226,Cherry Creek 5 School District,402999.67
10062838,4981 N Silverlace Dr,Castle Rock,CO,80109,3,3.0,2108,2610.0,39.4109,-104.89674,Douglas County RE 1 School District,456633.33
10062848,3166 S Olathe Way,Aurora,CO,80013,3,2.0,2048,2442.0,39.65927,-104.79247,Adams-Arapahoe 28J School District,420800.0
10062853,9809 Castle Ridge Cir,Highlands Ranch,CO,80129,4,3.0,1838,2765.0,39.53929,-105.01939,Douglas County RE 1 School District,496666.67
10062859,4672 Biscay St,Denver,CO,80249,4,2.5,2028,2600.0,39.78063,-104.76357,Denver County 1 School District,383633.33
10062886,2416 S Memphis Way,Aurora,CO,80013,4,2.0,1764,2415.0,39.67214,-104.79639,Adams-Arapahoe 28J School District,415600.0
10062907,11644 Community Center Dr Unit # 126,Denver,CO,80233,4,3.0,2130,2420.0,39.90763,-104.98418,Adams 12 Five Star Schools,323333.33
10062911,7178 Urban St,Arvada,CO,80004,3,2.0,1824,2585.0,39.826,-105.135,Jefferson County R-1 School District,521565.0
10062911,7178 Urban St,Arvada,CO,80004,3,2.0,1824,2645.0,39.826,-105.135,Jefferson County R-1 School District,521565.0
10062918,1360 S Tejon St,Denver,CO,80223,3,2.0,1887,2880.0,39.692,-105.01143,Denver County 1 School District,439666.67
10062934,8945 Field St #64,Westminster,CO,80021,2,2.0,1340,2095.0,39.85907,-105.09907,Jefferson County R-1 School District,301333.33
10062936,4326 Wyandot St,Denver,CO,80211,3,2.0,1752,2850.0,39.776,-105.01437,Denver County 1 School District,684333.33
10062941,4751 Carson St,Denver,CO,80239,2,1.0,1513,2085.0,39.78123,-104.83142,Denver County 1 School District,411666.67
10062992,9174 Lander St,Westminster,CO,80031,3,2.0,1850,2595.0,39.86244,-105.03037,Westminster 50 School District,408000.0
10062993,1360 S Kendall St,Lakewood,CO,80232,3,2.0,1820,2568.0,39.693,-105.065,Jefferson County R-1 School District,466600.0
10063013,5188 Duluth Ct,Denver,CO,80239,4,2.0,1576,2305.0,39.78765,-104.8184,Denver County 1 School District,365966.67
10063014,5564 Worchester St,Denver,CO,80239,3,2.0,1680,2375.0,39.79604,-104.83049,Denver County 1 School District,404000.0
10063041,3787 S Quintero Cir,Aurora,CO,80013,4,2.0,1738,2530.0,39.64839,-104.78744,Cherry Creek 5 School District,481666.67
10063063,18274 E Bellewood Dr,Aurora,CO,80015,3,3.0,2128,2913.0,39.62435,-104.77523,Cherry Creek 5 School District,428359.75
10063072,7279 Dome Rock Rd,Littleton,CO,80125,3,2.0,1897,2866.0,39.46731,-105.07512,Douglas County RE 1 School District,579966.67
