property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,point_pair,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,ROI,management
10062714,4338 Deephaven Ct,Denver,CO,80239,4,2.5,2247,2725.0,39.77565,-104.82321,"[-104.82321, 39.77565]",Denver County 1 School District,363749.4,2182.0,14549.98,4087.5,9264.52,2616.0
10062738,8610 Ogden St,Denver,CO,80229,3,3.0,2528,2745.0,39.85345,-104.97501,"[-104.97501, 39.85345]",Adams 12 Five Star Schools,299185.0,1795.0,11967.4,4117.5,12424.900000000001,2635.2000000000003
10062783,5174 Sable St,Denver,CO,80239,4,2.0,1395,2342.0,39.78804,-104.82032,"[-104.82032, 39.78804]",Denver County 1 School District,391355.0,2348.0,15654.2,3513.0,4340.48,2248.32
10062799,18868 E 52nd Ave,Denver,CO,80249,2,2.5,1524,2451.0,39.79129,-104.76729,"[-104.76729, 39.79129]",Denver County 1 School District,400684.95,2404.0,16027.4,3676.5,4951.139999999999,2352.96
10062812,10017 Beach St,Denver,CO,80260,3,2.0,1320,2330.0,39.87954,-105.01733,"[-105.01733, 39.87954]",Adams 12 Five Star Schools,308255.0,1850.0,12330.2,3495.0,8048.0,2236.8
10062827,4258 S Pitkin St,Aurora,CO,80013,3,2.0,1650,2345.0,39.63963,-104.78793,"[-104.78793, 39.63963]",Cherry Creek 5 School District,331431.1,1989.0,13257.24,3517.5,7125.059999999998,2251.2000000000003
10062838,4981 N Silverlace Dr,Castle Rock,CO,80109,3,3.0,2108,2610.0,39.4109,-104.89674,"[-104.89674, 39.4109]",Douglas County RE 1 School District,472222.45,2833.0,18888.9,3915.0,3177.5,2505.6
10062848,3166 S Olathe Way,Aurora,CO,80013,3,2.0,2048,2600.0,39.65927,-104.79247,"[-104.79247, 39.65927]",Adams-Arapahoe 28J School District,392458.6,2355.0,15698.34,3900.0,6750.66,2496.0
10062853,9809 Castle Ridge Cir,Highlands Ranch,CO,80129,4,3.0,1838,2765.0,39.53929,-105.01939,"[-105.01939, 39.53929]",Douglas County RE 1 School District,538467.45,3231.0,21538.7,4147.5,1608.4000000000015,2654.4
10062886,2416 S Memphis Way,Aurora,CO,80013,4,2.0,1764,2415.0,39.67214,-104.79639,"[-104.79639, 39.67214]",Adams-Arapahoe 28J School District,373930.0,2244.0,14957.2,3622.5,5837.9000000000015,2318.4
10062907,11644 Community Center Dr Unit # 126,Denver,CO,80233,4,3.0,2130,2420.0,39.90763,-104.98418,"[-104.98418, 39.90763]",Adams 12 Five Star Schools,320340.0,1922.0,12813.6,3630.0,8351.199999999997,2323.2000000000003
10062918,1360 S Tejon St,Denver,CO,80223,3,2.0,1887,2880.0,39.692,-105.01143,"[-105.01143, 39.692]",Denver County 1 School District,406434.9,2439.0,16257.4,4320.0,8778.800000000003,2764.8
