property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10042796,4323 Nepal St,Denver,CO,80249,4,2.0,1740,2335.0,39.77612,-104.74077,Denver County 1 School District,383234.95,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10042826,4331 S Fundy St,Centennial,CO,80015,4,2.0,1816,2713.0,39.63676,-104.75775,Cherry Creek 5 School District,435127.25,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10043355,453 S Nome Way,Aurora,CO,80012,4,2.0,1628,2425.0,39.70764,-104.85356,Cherry Creek 5 School District,378197.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10043560,4653 S Buckley Way,Aurora,CO,80015,3,2.0,1170,2176.0,39.63168,-104.79043,Cherry Creek 5 School District,349245.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10043581,4672 S Kittredge Way,Aurora,CO,80015,3,2.0,1976,2549.0,39.63089,-104.80109,Cherry Creek 5 School District,413754.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10043692,4752 S Yampa St,Aurora,CO,80015,3,2.0,1689,2544.0,39.62884,-104.77537,Cherry Creek 5 School District,376467.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10043776,4810 Flanders Way,Denver,CO,80249,4,2.5,1858,2350.0,39.78436,-104.76084,Denver County 1 School District,422049.4,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10043791,4814 S Pagosa Way,Aurora,CO,80015,3,2.0,1238,2505.0,39.62868,-104.78937,Cherry Creek 5 School District,361395.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10048271,5072 S Himalaya Ct,Aurora,CO,80015,3,3.0,1500,2540.0,39.62423,-104.75255,Cherry Creek 5 School District,453200.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10049641,527 Leona Dr,Denver,CO,80221,3,3.0,1188,2425.0,39.84392,-104.99356,Adams 12 Five Star Schools,415932.5,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10049802,5374 S Telluride Way,Centennial,CO,80015,4,2.5,2145,2628.0,39.61956,-104.78224,Cherry Creek 5 School District,463979.9,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10049841,5406 Iris St,Arvada,CO,80002,4,2.0,1373,2525.0,39.79535,-105.10547,Jefferson County R-1 School District,490899.75,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10050170,5631 W 71st Cir,Arvada,CO,80003,4,2.5,1502,2913.0,39.826,-105.06,Jefferson County R-1 School District,424579.95,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10050266,5710 S Quatar Cir,Centennial,CO,80015,3,2.0,1361,2207.0,39.61232,-104.73445,Cherry Creek 5 School District,443754.95,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10050357,5798 W 110th Ave,Westminster,CO,80020,4,2.0,1975,2650.0,39.897,-105.061,Jefferson County R-1 School District,483890.0,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10057034,6243 Westview Cir,Parker,CO,80134,5,3.0,2364,2737.0,39.4395,-104.77038,Douglas County RE 1 School District,494049.9,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10057300,6324 W 92nd Pl,Westminster,CO,80031,4,2.0,1920,2760.0,39.864,-105.067,Jefferson County R-1 School District,425024.5,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29
10062646,2954 S Idalia St,Aurora,CO,80013,4,2.0,1296,2490.0,39.66278,-104.80593,Adams-Arapahoe 28J School District,387880.0,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10062657,4926 Fraser Way,Denver,CO,80239,4,3.0,2587,2831.0,39.78129,-104.81126,Denver County 1 School District,453675.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062670,16901 E Eastman Pl,Aurora,CO,80013,3,1.5,1662,2285.0,39.65799,-104.79023,Adams-Arapahoe 28J School District,412408.6,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10062677,11620 Oakland Dr,Henderson,CO,80640,3,1.5,1420,2339.0,39.90825,-104.84968,Brighton 27J School District,425300.0,44.03,2.2,2.92,53.74,0.31,0.17,3.0,37.65,-48.06
10062703,12774 E 31st Ave,Aurora,CO,80011,3,2.0,2180,2580.0,39.75939,-104.84033,Adams-Arapahoe 28J School District,399427.45,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10062714,4338 Deephaven Ct,Denver,CO,80239,4,2.5,2247,2725.0,39.77565,-104.82321,Denver County 1 School District,373499.85,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062738,8610 Ogden St,Denver,CO,80229,3,3.0,2528,2745.0,39.85345,-104.97501,Adams 12 Five Star Schools,289435.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10062783,5174 Sable St,Denver,CO,80239,4,2.0,1395,2342.0,39.78804,-104.82032,Denver County 1 School District,398855.0,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062799,18868 E 52nd Ave,Denver,CO,80249,2,2.5,1524,2451.0,39.79129,-104.76729,Denver County 1 School District,406434.95,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32
10062812,10017 Beach St,Denver,CO,80260,3,2.0,1320,2330.0,39.87954,-105.01733,Adams 12 Five Star Schools,356355.0,47.39,1.91,4.73,47.0,0.55,0.14,3.32,42.36,-23.4
10062824,2361 Stacy Dr,Denver,CO,80221,3,2.0,1650,2365.0,39.84679,-105.01484,Westminster 50 School District,239260.0,80.55,1.94,3.94,74.73,0.68,0.59,2.25,15.88,-19.69
10062827,4258 S Pitkin St,Aurora,CO,80013,3,2.0,1650,1950.0,39.63963,-104.78793,Cherry Creek 5 School District,334528.6,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53
10062838,4981 N Silverlace Dr,Castle Rock,CO,80109,3,3.0,2108,2610.0,39.4109,-104.89674,Douglas County RE 1 School District,472222.45,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
10062848,3166 S Olathe Way,Aurora,CO,80013,3,2.0,2048,2442.0,39.65927,-104.79247,Adams-Arapahoe 28J School District,403463.6,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37
10062853,9809 Castle Ridge Cir,Highlands Ranch,CO,80129,4,3.0,1838,2765.0,39.53929,-105.01939,Douglas County RE 1 School District,541927.45,10.78,1.29,4.64,13.59,0.41,0.11,5.69,74.28,10.24
