address,city,zip,beds,baths,sqft,listPrice,taxes,lat,lng,monthly_hoa,districtMatch
11032 W Crestline Drive,Littleton,80127,4.0,3.0,2463,749000,2311,39.61860683,-105.12137851,38.666666666666664,Jefferson County R-1 School District
6970 Iris Court,Arvada,80004,4.0,4.0,3401,749000,3744,39.82312727,-105.10750374,60.0,Jefferson County R-1 School District
"8140 Brighton Road Unit 1,#2,#3",Commerce City,80022,2.0,2.0,1240,749000,1927,39.84451374,-104.92042356,0.0,Adams 12 Five Star Schools
1351 Jackson Street Unit 1353,Denver,80206,3.0,2.0,1873,747000,2900,39.73766039,-104.94314305,0.0,Denver County 1 School District
12607 W 38th Drive,Wheat Ridge,80033,4.0,2.0,3061,745000,2556,39.7684256,-105.14070431,0.0,Jefferson County R-1 School District
1305 E Iowa Avenue,Denver,80210,3.0,3.0,1615,745000,2749,39.687801,-104.97191125,0.0,Denver County 1 School District
8285 E Lehigh Avenue,Denver,80237,4.0,3.0,2600,745000,2623,39.64729324,-104.89202,0.0,Denver County 1 School District
1340 S Washington Street,Denver,80210,3.0,3.0,2538,745000,3241,39.69210836,-104.9788276,0.0,Denver County 1 School District
1995 W 67th Place,Denver,80221,3.0,3.0,2331,740300,6229,39.81911,-105.01126,72.0,Mapleton 1 School District
3050 S Roslyn Street,Denver,80231,4.0,3.0,3525,740000,1493,39.66192331,-104.90042725,0.0,Denver County 1 School District
968 N Corona Street,Denver,80218,4.0,2.0,1850,739000,1104,39.731553,-104.9737607,0.0,Denver County 1 School District
3267 S Holly Street,Denver,80222,4.0,3.0,2112,735000,1892,39.65713016,-104.92336236,0.0,Denver County 1 School District
717 E 23rd Avenue,Denver,80205,4.0,2.0,2049,735000,2660,39.75089533,-104.97764481,0.0,Denver County 1 School District
3900 Vallejo Street,Denver,80211,2.0,2.0,2088,735000,2833,39.77066732,-105.0133029,0.0,Denver County 1 School District
3560 Chase Street,Wheat Ridge,80212,3.0,2.0,1578,730000,3439,39.76734144,-105.05701037,0.0,Jefferson County R-1 School District
1525 Holly Street,Denver,80220,3.0,2.0,1921,730000,2633,39.74073427,-104.922587,0.0,Denver County 1 School District
105 S Newland Street,Lakewood,80226,3.0,2.0,624,729900,2660,39.71457462,-105.06996104,0.0,Jefferson County R-1 School District
3547 S Ivanhoe Street,Denver,80237,5.0,4.0,3269,729819,2919,39.65166941,-104.92211894,0.0,Denver County 1 School District
125 E Florida Avenue,Denver,80210,3.0,2.0,1342,729000,1971,39.68954813,-104.98563837,0.0,Denver County 1 School District
3320 Nelson Street,Wheat Ridge,80033,3.0,3.0,2121,729000,2344,39.76368123,-105.11756206,0.0,Jefferson County R-1 School District
141 W 1st Avenue,Denver,80223,3.0,2.0,1928,725000,3183,39.71863368,-104.99030033,0.0,Denver County 1 School District
