address,city,zip,beds,baths,sqft,listPrice,taxes,lat,lng,monthly_hoa,districtMatch
970 S Chase Street,Lakewood,80226,3.0,2.0,1506,599900,1544,39.69926163,-105.05927527,0.0,Denver County 1 School District
11250 W Aqueduct Drive,Littleton,80127,3.0,3.0,1543,599900,2006,39.61744124,-105.12530354,38.666666666666664,Denver County 1 School District
1789 S Quail Street,Lakewood,80232,4.0,3.0,2508,599900,2244,39.68404007,-105.12463625,0.0,Jefferson County R-1 School District
3883 E Montana Place,Denver,80210,3.0,1.0,1105,599900,2014,39.68427577,-104.94324319,0.0,Denver County 1 School District
935 S Sheridan Boulevard,Lakewood,80226,4.0,2.0,1330,599900,2429,39.69902163,-105.05383095,0.0,Denver County 1 School District
3815 Independence Court,Wheat Ridge,80033,3.0,2.0,1980,599000,3007,39.76988259,-105.1057699,0.0,Denver County 1 School District
664 S Galena Street,Denver,80247,4.0,3.0,2253,599000,1652,39.70291914,-104.86931227,4.166666666666667,Jefferson County R-1 School District
5433 S Quintero Way,Centennial,80015,4.0,3.0,2564,599000,3473,39.61730736,-104.78823705,5.166666666666667,Jefferson County R-1 School District
1075 Jasmine Street,Denver,80220,2.0,1.0,1382,599000,2429,39.73218675,-104.91921644,0.0,Jefferson County R-1 School District
6487 Independence Way,Arvada,80004,5.0,3.0,1719,599000,1704,39.81520533,-105.10738368,0.0,Jefferson County R-1 School District
2633 E 30th Avenue,Denver,80205,3.0,1.0,1280,599000,2356,39.75966132,-104.95526449,0.0,Cherry Creek 5 School District
6115 Ames Street,Arvada,80003,4.0,2.0,2500,599000,2471,39.80816751,-105.05482793,0.0,Jefferson County R-1 School District
8115 E Bethany Place,Denver,80231,5.0,3.0,2485,599000,2332,39.66643,-104.89489,0.0,Denver County 1 School District
3241 Champa Street,Denver,80205,3.0,3.0,1464,599000,2789,39.76228889,-104.97412847,0.0,Adams-Arapahoe 28J School District
8115 E Bethany Place,Denver,80231,5.0,3.0,2485,599000,2332,39.66642497,-104.89491614,0.0,Jefferson County R-1 School District
2542 N Lafayette Street,Denver,80205,2.0,1.0,1126,599000,2486,39.75407175,-104.97051042,0.0,Jefferson County R-1 School District
1990 S Fox Street,Denver,80223,4.0,2.0,2129,598000,2079,39.68046263,-104.99460156,0.0,Denver County 1 School District
5652 Jellison Street,Arvada,80002,4.0,2.0,2178,595000,2866,39.79982771,-105.10791355,0.0,Jefferson County R-1 School District
6921 E Arkansas Avenue,Denver,80224,4.0,3.0,1758,595000,1503,39.69122694,-104.90761211,0.0,Jefferson County R-1 School District
760 W Asbury Avenue,Denver,80223,3.0,2.0,1344,595000,2444,39.68011925,-104.99672073,0.0,Denver County 1 School District
1416 Fillmore Street,Denver,80206,2.0,1.0,1467,595000,2250,39.73868197,-104.95262736,0.0,Adams-Arapahoe 28J School District
5975 Robb Court,Arvada,80004,4.0,3.0,2393,595000,3005,39.80445311,-105.125254,0.0,Cherry Creek 5 School District
7168 Ammons Street,Arvada,80004,3.0,2.0,2419,595000,1929,39.82654585,-105.0864551,0.0,Denver County 1 School District
5103 S Parfet Way,Littleton,80127,3.0,3.0,1720,595000,2987,39.62364406,-105.12090425,39.0,Denver County 1 School District
5957 N Flower Street,Arvada,80004,3.0,2.0,1413,595000,2248,39.80514598,-105.09954273,0.0,Jefferson County R-1 School District
18514 E Bethany Place,Aurora,80013,4.0,4.0,3100,595000,2316,39.66142144,-104.7711812,25.833333333333332,Jefferson County R-1 School District
3640 Kearney Street,Denver,80207,3.0,3.0,1610,595000,1592,39.76844481,-104.91720199,0.0,Jefferson County R-1 School District
7721 Garrison Court,Arvada,80005,4.0,3.0,2476,595000,2856,39.83620967,-105.1026879,0.0,Jefferson County R-1 School District
4705 Newton Street,Denver,80211,3.0,2.0,980,592000,2408,39.78237427,-105.037276,0.0,Denver County 1 School District
1617 S Pagosa Court,Aurora,80017,3.0,4.0,3289,590000,3329,39.68974235,-104.78553071,35.0,Jefferson County R-1 School District
1057 S Sheridan Boulevard,Lakewood,80226,6.0,2.0,2267,590000,2306,39.6980059,-105.05381029,0.0,Adams-Arapahoe 28J School District
5229 S Parfet Way,Littleton,80127,4.0,3.0,1976,590000,2966,39.62178706,-105.12230554,39.0,Cherry Creek 5 School District
1690 Spruce Street,Denver,80220,4.0,2.0,1672,590000,2050,39.74363597,-104.89731887,0.0,Cherry Creek 5 School District
3511 N Steele Street,Denver,80205,3.0,2.0,1523,590000,2355,39.7659835,-104.95025745,0.0,Sheridan 2 School District
12346 W Ohio Circle,Lakewood,80228,4.0,2.0,1796,589000,2560,39.69827908,-105.13645698,0.0,Denver County 1 School District
7138 Xenon Court,Arvada,80004,3.0,2.0,2333,589000,2947,39.82595924,-105.14018981,0.0,Denver County 1 School District
3379 W Wagon Trail Drive,Englewood,80110,5.0,2.0,2002,589000,2127,39.63121434,-105.0336191,0.0,Denver County 1 School District
5041 N Quemoy Court,Aurora,80018,2.0,2.0,2542,588630,8209,39.78695119,-104.73093572,195.0,Denver County 1 School District
3818 S Helena Way,Aurora,80013,3.0,3.0,2513,588100,1993,39.64717,-104.80745,2.5,Cherry Creek 5 School District
2330 S Quitman Street,Denver,80219,6.0,2.0,2143,588000,1821,39.67440338,-105.04085998,0.0,Jefferson County R-1 School District
6921 E Vassar Avenue,Denver,80224,5.0,3.0,2527,585000,1795,39.66985938,-104.90671409,0.0,Jefferson County R-1 School District
1633 S Yukon Street,Lakewood,80232,3.0,3.0,2075,585000,1590,39.68732999,-105.08283373,0.0,Englewood 1 School District
6260 Johnson Way,Arvada,80004,4.0,3.0,2005,585000,2370,39.81075619,-105.11223824,0.0,Jefferson County R-1 School District
8945 Cole Drive,Arvada,80004,4.0,3.0,2736,585000,3077,39.81024687,-105.09696393,0.0,Jefferson County R-1 School District
5409 Jellison Street,Arvada,80002,4.0,3.0,2231,584900,2853,39.79562382,-105.1069316,0.0,Cherry Creek 5 School District
4835 Vallejo Street,Denver,80221,3.0,2.0,1597,584500,1735,39.7845252,-105.01382096,0.0,Adams County 14 School District
3140 Sheridan Boulevard,Denver,80214,5.0,3.0,2555,584000,2433,39.76194317,-105.05301756,0.0,Adams-Arapahoe 28J School District
10347 W Bellewood Place,Littleton,80127,4.0,3.0,2601,582500,3064,39.62503422,-105.11374857,0.0,Adams-Arapahoe 28J School District
19220 E Pacific Place,Aurora,80013,3.0,3.0,2044,582000,5163,39.6785129,-104.76350615,100.0,Englewood 1 School District
5263 S Zeno Way,Centennial,80015,4.0,4.0,2521,580000,2939,39.62007781,-104.77379902,5.416666666666667,Englewood 1 School District
21838 E Powers Drive,Centennial,80015,4.0,4.0,2439,579900,3427,39.61388048,-104.73406245,37.0,Englewood 1 School District
3170 W Radcliff Avenue,Englewood,80110,5.0,2.0,2470,579000,2645,39.63695393,-105.02761751,0.0,Denver County 1 School District
2857 S Zenobia Street,Denver,80236,5.0,2.0,2083,579000,2038,39.663914,-105.051454,0.0,Denver County 1 School District
21706 E Stanford Circle,Aurora,80015,3.0,3.0,1831,578531,1983,39.63449894,-104.73493168,63.0,Denver County 1 School District
2760 S Perry Street,Denver,80236,4.0,2.0,2443,575000,2098,39.66553,-105.03976,0.0,Jefferson County R-1 School District
2760 S Perry Street,Denver,80236,4.0,2.0,2443,575000,2098,39.66552786,-105.039767,0.0,Denver County 1 School District
670 S Raritan Street,Denver,80223,4.0,2.0,1739,575000,1822,39.70414198,-105.00834764,0.0,Cherry Creek 5 School District
17705 E Ida Avenue,Centennial,80015,5.0,4.0,3146,575000,3376,39.61110542,-104.78520336,0.0,Jefferson County R-1 School District
11556 W 38th Place,Wheat Ridge,80033,4.0,2.0,1789,575000,2615,39.76981145,-105.12774281,0.0,Jefferson County R-1 School District
6654 Nelson Street,Arvada,80004,5.0,3.0,2292,575000,2505,39.81779409,-105.11537906,0.0,Cherry Creek 5 School District
6172 Carr Street,Arvada,80004,4.0,3.0,2422,575000,2273,39.80845074,-105.09047846,0.0,Cherry Creek 5 School District
4822 S Grant Street,Englewood,80113,4.0,3.0,1828,575000,2019,39.62908794,-104.98415943,0.0,Denver County 1 School District
1494 S Hoyt Street,Lakewood,80232,3.0,3.0,1731,575000,2547,39.68956878,-105.10510076,0.0,Cherry Creek 5 School District
1553 S Yank Street,Lakewood,80228,3.0,3.0,2194,575000,2741,39.68864,-105.14455,0.0,Denver County 1 School District
4954 S Evanston Street,Aurora,80015,4.0,3.0,2138,574900,2059,39.62695951,-104.81400541,2.9166666666666665,Denver County 1 School District
6461 N Ceylon Street,Denver,80249,4.0,3.0,1949,574710,6000,39.81495702,-104.76479339,39.0,Jefferson County R-1 School District
2787 S Waco Way,Aurora,80013,3.0,4.0,3370,574000,2606,39.66501697,-104.77748306,45.0,Denver County 1 School District
2309 S Eldridge Street,Lakewood,80228,4.0,3.0,2161,570000,2334,39.67566364,-105.15781192,0.0,Cherry Creek 5 School District
1760 Del Mar Parkway,Aurora,80010,5.0,3.0,2160,570000,2589,39.74493869,-104.87379651,0.0,Cherry Creek 5 School District
4765 S Bannock Street,Englewood,80110,5.0,2.0,2644,570000,1433,39.63006095,-104.99060986,0.0,Jefferson County R-1 School District
4196 S Cherokee Street,Englewood,80110,5.0,2.0,2112,569900,2150,39.64063721,-104.99112669,0.0,Adams County 14 School District
3211 S Galapago Street,Englewood,80110,4.0,2.0,1960,569900,2156,39.6584238,-104.99612675,0.0,Cherry Creek 5 School District
3720 Martin Luther King Boulevard,Denver,80205,4.0,2.0,1585,569900,1766,39.76137442,-104.94359548,0.0,Cherry Creek 5 School District
1453 Rosemary Street,Denver,80220,3.0,2.0,1685,569000,2138,39.73970232,-104.90024436,0.0,Adams-Arapahoe 28J School District
1021 Quebec Street,Denver,80220,3.0,2.0,1680,569000,2079,39.73162241,-104.90315946,0.0,Jefferson County R-1 School District
3201 W Farmdale Road,Englewood,80110,4.0,3.0,2326,568800,2284,39.63835517,-105.02834294,0.0,Denver County 1 School District
20 Dudley Street,Lakewood,80226,6.0,2.0,2240,567900,2576,39.71740867,-105.09464919,0.0,Westminster 50 School District
3690 Dahlia Street,Denver,80207,5.0,3.0,2067,565500,1781,39.76880293,-104.93130269,0.0,Jefferson County R-1 School District
18244 E Mansfield Avenue,Aurora,80013,5.0,4.0,2652,565000,2082,39.64506448,-104.77540522,0.0,Jefferson County R-1 School District
10403 W Arkansas Drive,Lakewood,80232,3.0,3.0,1672,565000,2484,39.69122328,-105.114984,0.0,Jefferson County R-1 School District
1209 S Brentwood Street,Lakewood,80232,4.0,2.0,2114,565000,1941,39.69455636,-105.08986181,0.0,Jefferson County R-1 School District
1711 S Nome Way,Aurora,80012,4.0,3.0,2585,564900,2278,39.68545997,-104.85269437,0.0,Jefferson County R-1 School District
11747 E Atlantic Place,Aurora,80014,4.0,3.0,2258,562300,2247,39.68105219,-104.85116724,1.6666666666666667,Jefferson County R-1 School District
3421 N Harrison Street,Denver,80205,4.0,2.0,1938,560000,2356,39.76491392,-104.94205346,0.0,Denver County 1 School District
1641 S Oswego Street,Aurora,80012,5.0,3.0,2780,560000,1945,39.6868893,-104.85003833,0.0,Jefferson County R-1 School District
3085 Wilson Court,Denver,80205,2.0,2.0,1400,560000,1641,39.76064107,-104.94707408,0.0,Jefferson County R-1 School District
3320 W Pimlico Avenue,Englewood,80110,4.0,2.0,2195,560000,2091,39.63247265,-105.03127539,0.0,Jefferson County R-1 School District
6651 Harlan Street,Arvada,80003,5.0,3.0,2090,560000,2428,39.81763809,-105.06241095,0.0,Jefferson County R-1 School District
5284 S Jericho Street,Centennial,80015,4.0,3.0,1748,559900,1876,39.62077,-104.74911,70.0,Denver County 1 School District
1870 W Beekman Place,Denver,80221,3.0,2.0,1282,559900,1676,39.78839308,-105.00964325,0.0,Denver County 1 School District
5782 S Ouray Court,Centennial,80015,4.0,3.0,2708,559900,3265,39.61143976,-104.79215437,62.0,Jefferson County R-1 School District
1868 S Ironton Street,Aurora,80012,2.0,2.0,1817,559000,1775,39.68269565,-104.86262081,43.333333333333336,Englewood 1 School District
2755 S Utica Street,Denver,80236,3.0,2.0,1735,559000,1781,39.6664712,-105.04510136,0.0,Denver County 1 School District
885 Deframe Street,Golden,80401,2.0,1.0,882,555000,2573,39.73061992,-105.15454973,0.0,Adams-Arapahoe 28J School District
6441 N Dunkirk Court,Aurora,80019,4.0,3.0,2115,554300,4361,39.813706,-104.762135,30.0,Jefferson County R-1 School District
11202 E Mexico Avenue,Aurora,80012,5.0,3.0,3108,550000,2286,39.6849232,-104.85757412,0.0,Denver County 1 School District
11355 E Colorado Drive,Aurora,80012,3.0,2.0,2053,550000,1466,39.68445,-104.85602,0.0,Denver County 1 School District
2135 S Telluride Court,Aurora,80013,4.0,4.0,2736,550000,2915,39.67756993,-104.781155,38.0,Jefferson County R-1 School District
19823 E 58th Avenue,Aurora,80019,7.0,4.0,2638,550000,4280,39.80183455,-104.75797279,55.0,Jefferson County R-1 School District
14290 W 50th Avenue,Golden,80403,2.0,2.0,882,550000,2469,39.78699242,-105.15956319,0.0,Jefferson County R-1 School District
81 N Sherman Street,Denver,80203,3.0,1.0,1246,550000,2767,39.71801925,-104.98525921,0.0,Jefferson County R-1 School District
3906 W 63rd Avenue,Arvada,80003,3.0,2.0,1065,550000,3371,39.81147974,-105.03842568,0.0,Adams-Arapahoe 28J School District
6777 Vivian Street,Arvada,80004,4.0,3.0,2196,550000,2783,39.82052983,-105.13762805,0.0,Denver County 1 School District
12246 W Texas Drive,Lakewood,80228,4.0,3.0,2095,550000,1932,39.69513405,-105.13169854,0.0,Adams-Arapahoe 28J School District
9281 W Louisiana Avenue,Lakewood,80232,3.0,2.0,1462,550000,2214,39.69360631,-105.10200222,0.0,Denver County 1 School District
6725 Upham Street,Arvada,80003,3.0,2.0,2008,550000,2141,39.81924778,-105.0788117,0.0,Westminster 50 School District
6012 Newcombe Court,Arvada,80004,5.0,3.0,1879,550000,1876,39.80625711,-105.11785029,0.0,Denver County 1 School District
1166 S Nome Street,Aurora,80012,4.0,3.0,2791,550000,1880,39.69403361,-104.85245985,0.0,Adams-Arapahoe 28J School District
6580 W Nevada Place,Lakewood,80226,3.0,2.0,1832,550000,1960,39.70922128,-105.06969433,0.0,Adams County 14 School District
18755 Robins Drive,Denver,80249,3.0,3.0,2563,550000,4402,39.797172,-104.76885927,0.0,Denver County 1 School District
5609 Yukon Street,Arvada,80002,3.0,2.0,1043,550000,1937,39.79968803,-105.08285911,0.0,Adams-Arapahoe 28J School District
8564 W Radcliffe Place,Littleton,80123,3.0,3.0,1916,550000,2447,39.63601329,-105.092773,0.0,Denver County 1 School District
8945 W 55th Avenue,Arvada,80002,2.0,2.0,1413,549900,1905,39.79777668,-105.09678816,0.0,Denver County 1 School District
954 S Queen Way,Lakewood,80226,3.0,2.0,1715,549900,1392,39.69987734,-105.12432376,0.0,Jefferson County R-1 School District
3280 S Lowell Boulevard,Denver,80236,5.0,2.0,1820,549900,1873,39.65938602,-105.03484976,0.0,Denver County 1 School District
3803 W Girard Avenue,Denver,80236,5.0,2.0,2230,549900,1920,39.6574842,-105.03664682,0.0,Adams-Arapahoe 28J School District
8600 W 52nd Avenue,Arvada,80002,4.0,3.0,2298,549900,2926,39.79083873,-105.09246961,0.0,Englewood 1 School District
4165 S Fox Street,Englewood,80110,3.0,2.0,1462,549000,1689,39.64097766,-104.99507138,0.0,Jefferson County R-1 School District
3659 Jason Street,Denver,80211,3.0,1.0,1187,548900,2255,39.76794668,-104.99982217,0.0,Denver County 1 School District
21894 E 9th Place,Aurora,80018,3.0,3.0,2112,548115,6725,39.73065507,-104.72844133,0.0,Denver County 1 School District
7770 W Woodard Circle,Lakewood,80227,3.0,3.0,2147,547000,2520,39.67557376,-105.08455372,0.0,Westminster 50 School District
4582 E Bails Place,Denver,80222,4.0,2.0,868,545000,2008,39.68264231,-104.93287394,0.0,Denver County 1 School District
1310 Magnolia Street,Denver,80220,2.0,1.0,984,545000,2066,39.73760014,-104.91135246,0.0,Jefferson County R-1 School District
1122 S Flower Circle,Lakewood,80232,3.0,3.0,1464,545000,2014,39.69537321,-105.09874227,82.0,Adams-Arapahoe 28J School District
7135 Newland Street,Arvada,80003,4.0,2.0,1794,545000,2316,39.82659254,-105.06949316,0.0,Jefferson County R-1 School District
1306 S Zephyr Court,Lakewood,80232,5.0,2.0,2038,545000,2117,39.69192967,-105.085036,0.0,Jefferson County R-1 School District
6162 Estes Street,Arvada,80004,4.0,2.0,1820,545000,3005,39.80892327,-105.095245,0.0,Jefferson County R-1 School District
2071 S Ensenada Way,Aurora,80013,4.0,4.0,1932,540000,2811,39.67842828,-104.761391,17.5,Cherry Creek 5 School District
4860 Eliot Street,Denver,80221,3.0,1.0,1111,539400,1459,39.78495582,-105.02373088,0.0,Jefferson County R-1 School District
2613 S Killarney Court,Aurora,80013,3.0,3.0,1802,539000,4489,39.66959611,-104.75096463,42.0,Westminster 50 School District
2000 S Stuart Street,Denver,80219,4.0,3.0,2154,539000,1905,39.68093819,-105.0430231,0.0,Jefferson County R-1 School District
3501 W 53rd Avenue,Denver,80221,4.0,2.0,2599,539000,4111,39.79314988,-105.03331657,0.0,Cherry Creek 5 School District
1000 S Tejon Street,Denver,80223,4.0,2.0,2078,538888,1902,39.6979986,-105.01247349,0.0,Jefferson County R-1 School District
21864 E 9th Place,Aurora,80018,3.0,3.0,2112,537485,6688,39.73022263,-104.73303059,0.0,Denver County 1 School District
6281 Genoa Street,Aurora,80019,4.0,3.0,1624,536000,4239,39.81095412,-104.7570553,0.0,Denver County 1 School District
743 S Quivas Street,Denver,80223,3.0,2.0,1323,535900,1733,39.70312579,-105.00772781,0.0,Cherry Creek 5 School District
10690 E 11th Avenue,Aurora,80010,7.0,4.0,2258,535000,2353,39.73263222,-104.86365227,0.0,Cherry Creek 5 School District
408 S Locust Street,Denver,80224,3.0,2.0,1816,535000,1861,39.70905526,-104.91385362,0.0,Jefferson County R-1 School District
1765 W Florida,Denver,80223,3.0,2.0,1113,535000,1350,39.68953118,-105.00821682,0.0,Jefferson County R-1 School District
2636 S Deframe Circle,Lakewood,80228,3.0,3.0,1352,535000,2454,39.67078459,-105.15282228,0.0,Denver County 1 School District
4675 E Iliff Avenue,Denver,80222,3.0,2.0,1380,535000,1960,39.67502712,-104.93339473,0.0,Jefferson County R-1 School District
332 Newark Street,Aurora,80010,3.0,3.0,1976,534900,2607,39.72053,-104.85577,0.0,Denver County 1 School District
3300 S Emerson Street,Englewood,80113,2.0,1.0,896,534500,2120,39.65663807,-104.97686368,0.0,Jefferson County R-1 School District
5775 S Kline Street Unit 126,Littleton,80127,2.0,2.0,1460,534000,2420,39.61334516,-105.11170637,137.0,Jefferson County R-1 School District
2703 S Stuart Street,Denver,80236,3.0,3.0,2396,530000,2040,39.66745195,-105.04312182,0.0,Jefferson County R-1 School District
20472 E 53rd Avenue,Denver,80249,2.0,3.0,2188,530000,3784,39.791726,-104.749929,90.0,Adams-Arapahoe 28J School District
2680 W 66th Place,Denver,80221,4.0,3.0,2000,530000,2516,39.81688067,-105.02038829,0.0,Jefferson County R-1 School District
9661 W Dumbarton Place,Denver,80123,3.0,3.0,2117,530000,1948,39.62694829,-105.106755,0.0,Denver County 1 School District
1169 Van Gordan,Lakewood,80401,4.0,2.0,1750,529900,1506,39.73410729,-105.13544236,0.0,Littleton 6 School District
725 Lansing Street,Aurora,80010,5.0,4.0,2368,529900,1613,39.72682649,-104.85990182,0.0,Denver County 1 School District
6540 Van Gordon Court,Arvada,80004,4.0,2.0,2000,529000,2690,39.8153054,-105.13571879,0.0,Jefferson County R-1 School District
5374 Braun Street,Arvada,80002,3.0,2.0,1615,529000,3281,39.79388325,-105.15031602,0.0,Jefferson County R-1 School District
7231 Eaton Circle,Arvada,80003,3.0,3.0,2305,529000,1460,39.82754231,-105.06051362,0.0,Jefferson County R-1 School District
5218 S Shawnee Way,Aurora,80015,4.0,3.0,1875,527900,3110,39.62186,-104.72758,51.0,Adams-Arapahoe 28J School District
2179 W Vassar Avenue,Englewood,80110,3.0,2.0,1900,526000,1397,39.67012933,-105.0128463,0.0,Jefferson County R-1 School District
2651 Lamar Street,Wheat Ridge,80214,3.0,1.0,1166,526000,2249,39.755792,-105.06802758,0.0,Jefferson County R-1 School District
4100 W 64th Avenue,Arvada,80003,5.0,2.0,1136,525000,4796,39.81264834,-105.04066,0.0,Jefferson County R-1 School District
565 Saulsbury Street,Lakewood,80226,3.0,2.0,1303,525000,1980,39.738028,-105.097049,0.0,Denver County 1 School District
3002 S Holly Place,Denver,80222,3.0,2.0,1323,525000,2782,39.66426324,-104.91847933,0.0,Westminster 50 School District
6610 Quay Street,Arvada,80003,4.0,2.0,1776,525000,2250,39.81753353,-105.07288158,0.0,Denver County 1 School District
5420 Perth Street,Denver,80249,4.0,3.0,2732,525000,3477,39.79511214,-104.73586404,0.0,Denver County 1 School District
4913 S Field Court,Denver,80123,3.0,2.0,1567,525000,1978,39.62691342,-105.10017682,0.0,Cherry Creek 5 School District
2062 S Oakland Street,Aurora,80014,4.0,4.0,3014,525000,2338,39.67780867,-104.85005313,0.0,Jefferson County R-1 School District
5817 S Lisbon Way,Centennial,80015,4.0,3.0,2350,525000,2590,39.61106142,-104.74565563,65.0,Adams-Arapahoe 28J School District
1873 S Owens Street,Lakewood,80232,3.0,2.0,1636,525000,2334,39.68284175,-105.12162959,0.0,Denver County 1 School District
2413 Harlan Street,Edgewater,80214,3.0,1.0,1290,525000,1548,39.75149695,-105.06297126,0.0,Westminster 50 School District
5503 Espana Street,Denver,80249,3.0,3.0,2802,525000,6319,39.79436463,-104.76034742,0.0,Cherry Creek 5 School District
2817 Gray Street,Wheat Ridge,80214,2.0,1.0,872,525000,2451,39.75708627,-105.061794,0.0,Jefferson County R-1 School District
880 Irving Street,Denver,80204,4.0,2.0,1681,525000,1699,39.73083742,-105.0295961,0.0,Jefferson County R-1 School District
7653 Newland Street,Arvada,80003,4.0,2.0,1848,525000,2209,39.83613718,-105.07093593,0.0,Denver County 1 School District
10827 W Dumbarton Drive,Littleton,80127,3.0,3.0,1856,525000,2151,39.62632884,-105.119885,326.0,Jefferson County R-1 School District
2910 Pontiac Street,Denver,80207,2.0,2.0,1000,525000,1550,39.75864626,-104.90536512,0.0,Jefferson County R-1 School District
1897 S Beech Street,Lakewood,80228,4.0,2.0,1676,525000,2579,39.68218603,-105.154004,0.0,Denver County 1 School District
17546 E Baker Place,Aurora,80013,4.0,4.0,2214,525000,2781,39.67071297,-104.78212542,75.0,Denver County 1 School District
194 S Reed Court,Lakewood,80226,4.0,3.0,1251,524999,2449,39.71319537,-105.07471633,0.0,Jefferson County R-1 School District
1163 S Shoshone Street,Denver,80223,3.0,3.0,1020,524900,1638,39.69563047,-105.01098181,0.0,Denver County 1 School District
5460 S Windermere Street,Littleton,80120,5.0,3.0,2153,524900,3192,39.61768918,-105.00647246,0.0,Jefferson County R-1 School District
3862 N Madison Street,Denver,80205,3.0,2.0,955,524000,1035,39.77030342,-104.94611109,0.0,Denver County 1 School District
11720 W 74th Avenue,Arvada,80005,3.0,2.0,1200,520000,1991,39.83012432,-105.1298015,0.0,Cherry Creek 5 School District
4355 Newland Street,Wheat Ridge,80033,3.0,1.0,1263,520000,2210,39.7756285,-105.07009783,0.0,Westminster 50 School District
3965 Ingalls Street,Wheat Ridge,80033,3.0,2.0,1497,520000,2201,39.77187262,-105.06462132,0.0,Denver County 1 School District
2548 S Genoa Court,Aurora,80013,3.0,3.0,2257,519900,2663,39.67148309,-104.75660833,16.666666666666668,Jefferson County R-1 School District
11380 W Exposition Avenue,Lakewood,80226,3.0,2.0,1238,519900,1228,39.7035708,-105.12549465,0.0,Cherry Creek 5 School District
7640 W 47th Avenue,Wheat Ridge,80033,3.0,1.0,1409,519900,1781,39.78135677,-105.08255709,0.0,Cherry Creek 5 School District
6125 W 78th Place,Arvada,80003,4.0,2.0,1560,519900,2218,39.83879398,-105.06363177,0.0,Denver County 1 School District
2424 N Clay Street,Denver,80211,2.0,1.0,815,519000,1909,39.75294132,-105.02016354,0.0,Jefferson County R-1 School District
4145 W 80th Place,Westminster,80031,3.0,2.0,1860,516000,1770,39.84270043,-105.04276575,0.0,Denver County 1 School District
3415 Arapahoe Street,Denver,80205,2.0,1.0,823,515000,1852,39.76506363,-104.97381836,0.0,Jefferson County R-1 School District
3045 S Fairfax Street,Denver,80222,3.0,2.0,1365,515000,1906,39.66301377,-104.9287971,0.0,Denver County 1 School District
18235 E Tanforan Place,Aurora,80015,4.0,2.0,1330,514900,1892,39.62984,-104.77581,13.416666666666666,Denver County 1 School District
9541 W Cornell Place,Lakewood,80227,4.0,3.0,1920,514900,2514,39.66166,-105.10396,0.0,Adams-Arapahoe 28J School District
848 N Quatar Street,Aurora,80018,3.0,3.0,1885,510155,6356,39.72992861,-104.73342086,0.0,Adams-Arapahoe 28J School District
740 Julian Street,Denver,80204,3.0,2.0,1216,510000,1819,39.72852318,-105.03099449,0.0,Denver County 1 School District
7574 Heather Place,Denver,80221,3.0,3.0,1866,510000,2120,39.83412,-105.0166,0.0,Jefferson County R-1 School District
11853 E Idaho Drive,Aurora,80012,4.0,3.0,2221,510000,2138,39.6904642,-104.85007003,0.0,Denver County 1 School District
870 Miller Street,Lakewood,80215,3.0,2.0,1252,509900,2091,39.73135157,-105.11356168,0.0,Adams-Arapahoe 28J School District
6925 W Colorado Drive,Lakewood,80232,4.0,2.0,2056,509000,1509,39.68516768,-105.07356542,0.0,Jefferson County R-1 School District
2826 S Glencoe Street,Denver,80222,3.0,1.0,1224,509000,2124,39.66598928,-104.926596,0.0,Denver County 1 School District
7181 Van Gordon Street,Arvada,80004,3.0,3.0,2009,505000,2780,39.82629626,-105.136336,0.0,Denver County 1 School District
7161 Van Gordon Street,Arvada,80004,4.0,2.0,1666,504900,2362,39.82606433,-105.1362743,0.0,Cherry Creek 5 School District
2660 S High Street,Denver,80210,2.0,1.0,1112,500000,1727,39.66830945,-104.96495347,0.0,Adams-Arapahoe 28J School District
3025 S Ingalls Way,Denver,80227,4.0,3.0,2048,500000,2095,39.65999081,-105.0642621,0.0,Cherry Creek 5 School District
6201 W 29th Avenue,Wheat Ridge,80214,2.0,1.0,952,500000,1862,39.75873189,-105.0652584,0.0,Cherry Creek 5 School District
5200 E 12th Avenue,Denver,80220,3.0,1.0,903,500000,2140,39.73454637,-104.92662067,0.0,Denver County 1 School District
1201 Union Street,Lakewood,80401,3.0,1.0,1121,500000,1734,39.73426019,-105.13328641,0.0,Adams 12 Five Star Schools
2701 W Yale Avenue,Denver,80219,3.0,2.0,1077,500000,1960,39.66717638,-105.02046042,0.0,Jefferson County R-1 School District
18899 E Kent Place,Aurora,80013,3.0,3.0,2271,500000,1961,39.64899828,-104.768036,0.0,Denver County 1 School District
2040 Valley View Drive,Denver,80221,9.0,2.0,972,500000,2692,39.84133687,-105.01165897,0.0,Jefferson County R-1 School District
1885 S Patton Court,Denver,80219,3.0,2.0,2219,500000,1881,39.68243128,-105.038518,0.0,Jefferson County R-1 School District
1861 S Teller Street,Lakewood,80232,3.0,2.0,1631,500000,1978,39.68374928,-105.077335,0.0,Denver County 1 School District
22281 E Navarro Place,Aurora,80018,3.0,3.0,1959,499900,2129,39.64288485,-104.7259278,50.0,Adams-Arapahoe 28J School District
22049 E Belleview Place,Aurora,80015,4.0,3.0,1875,499900,3164,39.62378441,-104.73104405,51.0,Denver County 1 School District
3841 N Harrison Street,Denver,80205,3.0,2.0,1336,499900,2023,39.7699135,-104.94193541,0.0,Adams-Arapahoe 28J School District
9834 W 53rd Place,Arvada,80002,3.0,2.0,1715,499900,2860,39.79234315,-105.10768527,0.0,Jefferson County R-1 School District
3220 W Nevada Place,Denver,80219,5.0,4.0,2266,499900,2020,39.7100826,-105.02942137,0.0,Denver County 1 School District
