Unnamed: 0,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,elementarySchool,middleSchool,highSchool,yearly_hoa,costofMoney,districtMatch,RentperSqFt,market_rent,maintenance,management,ROI,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
77,3601 N Downing Street,Denver,80205,1.0,1.0,790,700000,2032,0,N/A,39.76724074,-104.97371084,Gilpin,Whittier  E-8,Manual,0,28000.0,Denver County 1 School District,1.46,1153.3999999999999,1730.1,1107.264,-19028.56,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
79,7119 Devinney Court,Arvada,80004,5.0,3.0,2527,699900,3305,50,Monthly,39.82553361,-105.15647486,Van Arsdale,Oberon,Ralston Valley,600,27996.0,Jefferson County R-1 School District,1.61,4068.4700000000003,6102.705,3905.7312,6912.2,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
80,604 Eldridge Street,Golden,80401,4.0,3.0,2435,699900,2165,0,N/A,39.72586612,-105.1561441,Welchester,Bell,Golden,0,27996.0,Jefferson County R-1 School District,1.61,3920.3500000000004,5880.525000000001,3763.5360000000005,7239.14,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
81,5707 Saulsbury Street,Arvada,80002,3.0,2.0,1346,699900,2305,0,N/A,39.80062126,-105.0757926,Secrest,Arvada K-8,Arvada,0,27996.0,Jefferson County R-1 School District,1.61,2167.06,3250.59,2080.3776000000003,-9627.25,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
82,8095 E Lehigh Avenue,Denver,80237,3.0,3.0,2787,699900,1389,20,Annually,39.64745679,-104.89506941,Joe Shoemaker,Hamilton,Thomas Jefferson,20,27996.0,Denver County 1 School District,1.46,4069.02,6103.53,3906.2592,9413.45,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
83,523 Ellis Court,Golden,80401,4.0,3.0,2158,699000,3072,0,N/A,39.72390099,-105.15862293,Kyffin,Bell,Golden,0,27960.0,Jefferson County R-1 School District,1.61,3474.38,5211.57,3335.4048,2113.59,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
84,16885 W 15th Avenue,Golden,80401,3.0,3.0,2077,699000,1950,0,N/A,39.74029199,-105.19031911,Welchester,Bell,Golden,0,27960.0,Jefferson County R-1 School District,1.61,3343.9700000000003,5015.955,3210.2112,1991.47,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
85,3822 Julian Street,Denver,80211,3.0,2.0,1487,699000,1812,0,N/A,39.76998244,-105.03114503,Centennial,Strive Sunnyside,North,0,27960.0,Denver County 1 School District,1.46,2171.02,3256.5299999999997,2084.1792,-9060.47,65.03672413793102,12.191293103448272,2.7722413793103446,53.5878448275862,0.7125000000000002,0.4012068965517242,3.7133620689655173,26.620603448275855,-34.31896551724138
86,3229 Zinnia Court,Golden,80401,5.0,3.0,2494,699000,3119,0,N/A,39.76204278,-105.14539569,Maple Grove,Everitt,Golden,0,27960.0,Jefferson County R-1 School District,1.61,4015.34,6023.01,3854.7264,7227.34,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
87,13739 W Dakota Place,Lakewood,80228,4.0,3.0,2014,698500,2562,0,N/A,39.70899546,-105.15358327,Foothills,Dunstan,Green Mountain,0,27940.0,Jefferson County R-1 School District,1.61,3242.5400000000004,4863.81,3112.8384000000005,431.83,37.161395348837225,1.4451937984496122,2.891472868217054,26.137131782945733,0.624031007751938,0.13503875968992252,4.070852713178295,64.696511627907,-23.294573643410853
88,6821 Pecos Street,Denver,80221,4.0,2.0,2832,698000,2980,0,N/A,39.8203125,-105.006709,F.M. Day,Scott Carpenter,Westminster,0,27920.0,Westminster 50 School District,1.42,4021.4399999999996,6032.16,3860.5824,7464.54,80.54846153846155,1.94,3.9353846153846153,74.72769230769231,0.6761538461538461,0.5938461538461538,2.2469230769230766,15.878461538461538,-19.692307692307693
