address,city,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,value,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
19554 E Amherst Dr,Aurora,80013,3,2,1408,2345.0,39.66632,-104.76032,Cherry Creek 5 School District,387482.45,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
19867 E Brunswick Dr,Aurora,80013,4,2,2281,2775.0,39.66537,-104.7571,Cherry Creek 5 School District,375000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,1,0,0
19867 E Brunswick Dr,Aurora,80013,4,2,2281,2525.0,39.66537,-104.7571,Cherry Creek 5 School District,406837.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,1,0,0
2094 S Pagosa St,Aurora,80013,5,3,2032,2575.0,39.67825,-104.78999,Adams-Arapahoe 28J School District,449666.33,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,0,1,0,1,0
2774 S Cathay Way,Aurora,80013,4,4,2000,2645.0,39.6668,-104.7664,Cherry Creek 5 School District,455000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,0,0,1
2853 S Biscay Ct,Aurora,80013,3,3,2175,2729.0,39.66289,-104.76883,Cherry Creek 5 School District,443333.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
2853 S Biscay Ct,Aurora,80013,3,3,2175,2650.0,39.66289,-104.76883,Cherry Creek 5 School District,438082.45,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
2861 S Genoa St,Aurora,80013,3,2,1920,2520.0,39.66526,-104.75811,Cherry Creek 5 School District,393000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
2881 S Olathe Ct,Aurora,80013,4,3,1965,2540.0,39.66349,-104.79249,Adams-Arapahoe 28J School District,411633.33,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,0,1,0
2924 S Argonne St,Aurora,80013,3,2,1470,2525.0,39.66288,-104.76991,Cherry Creek 5 School District,408000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
2924 S Argonne St,Aurora,80013,3,2,1470,2610.0,39.66288,-104.76991,Cherry Creek 5 School District,447637.45,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
2956 S Jasper St,Aurora,80013,4,2,2016,2585.0,39.66266,-104.8055,Adams-Arapahoe 28J School District,421633.33,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,1,0,0
3155 S Idalia St,Aurora,80013,4,2,1632,2550.0,39.65931,-104.80765,Adams-Arapahoe 28J School District,399402.3,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,1,0,0
3336 S Dunkirk Way,Aurora,80013,4,2,2328,2550.0,39.6553,-104.7621,Cherry Creek 5 School District,478333.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,1,0,0
3582 S Olathe St,Aurora,80013,3,2,2300,2700.0,39.65202,-104.79438,Cherry Creek 5 School District,385000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
3680 S Danube Cir,Aurora,80013,3,3,1288,2375.0,39.64944,-104.76285,Cherry Creek 5 School District,303333.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
3757 S Danube Cir,Aurora,80013,3,3,1281,2298.0,39.64854,-104.7631,Cherry Creek 5 School District,366133.7,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
3806 S Ouray Way,Aurora,80013,3,2,1824,2515.0,39.64712,-104.79167,Cherry Creek 5 School District,432666.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
3884 S Truckee Ct,Aurora,80013,3,2,1732,2495.0,39.64293,-104.78044,Cherry Creek 5 School District,404966.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
4108 S Laredo Way,Aurora,80013,5,3,2240,2595.0,39.64186,-104.8008,Cherry Creek 5 School District,393333.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,0,1,0,1,0
4108 S Laredo Way,Aurora,80013,5,3,2240,2605.0,39.64186,-104.8008,Cherry Creek 5 School District,406182.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,0,1,0,1,0
4157 S Olathe Way,Aurora,80013,3,2,1742,2600.0,39.64136,-104.79427,Cherry Creek 5 School District,406666.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
453 S Nome Way,Aurora,80012,4,2,1628,2425.0,39.70764,-104.85356,Cherry Creek 5 School District,384833.33,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,0,1,0,1,0,0
4554 S Richfield St,Aurora,80015,3,2,1554,2245.0,39.633,-104.78606,Cherry Creek 5 School District,342657.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
4653 S Buckley Way,Aurora,80015,3,2,1170,2176.0,39.63168,-104.79043,Cherry Creek 5 School District,350000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
4672 S Kittredge Way,Aurora,80015,3,2,1976,2549.0,39.63089,-104.80109,Cherry Creek 5 School District,384800.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
4752 S Yampa St,Aurora,80015,3,2,1689,2544.0,39.62884,-104.77537,Cherry Creek 5 School District,376467.5,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
4814 S Pagosa Way,Aurora,80015,3,2,1238,2505.0,39.62868,-104.78937,Cherry Creek 5 School District,414666.67,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
5003 S Richfield Cir,Aurora,80015,3,2,1238,2350.0,39.62658,-104.7871,Cherry Creek 5 School District,394000.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,1,0,0
5072 S Himalaya Ct,Aurora,80015,3,3,1500,2625.0,39.62423,-104.75255,Cherry Creek 5 School District,474605.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
5072 S Himalaya Ct,Aurora,80015,3,3,1500,2540.0,39.62423,-104.75255,Cherry Creek 5 School District,402600.0,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,65100.0,1,0,0,0,1,0
2954 S Idalia St,Aurora,80013,4,2,1296,2490.0,39.66278,-104.80593,Adams-Arapahoe 28J School District,423266.67,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,65100.0,0,1,0,1,0,0
