address,city,zipcode,beds,baths,sqft,value,taxes,lat,lng,monthly_hoa,districtMatch,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement,"Median household income (in 2019 dollars), 2015-2019",beds_3,beds_4,beds_5,baths_2,baths_3,baths_4
920 S Emporia Street,Denver,80247,4,4,3186,720000,3317,39.69945853,-104.87400415,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,0,1
1823 S Downing Street,Denver,80210,4,2,1650,719900,2841,39.68343167,-104.97380655,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,1,0,0
1150 S Forest Street,Denver,80246,4,2,1588,719000,1866,39.69535085,-104.92550533,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
3121 Fulton Street,Denver,80238,3,3,1726,715000,5186,39.76146172,-104.87073143,43.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,0,1,0
7220 E 12th Avenue,Denver,80220,4,3,2037,715000,2830,39.73541315,-104.90388336,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,0,1,0
1331 Bellaire Street,Denver,80220,4,2,1753,715000,3232,39.73710114,-104.93757049,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
4744 Raleigh Street,Denver,80212,3,3,1541,700000,1854,39.78290604,-105.04131706,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
11 S Logan Street,Denver,80209,3,2,1284,700000,2686,39.71621812,-104.98287899,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
3325 W 32nd Avenue,Denver,80211,2,2,1060,700000,2681,39.76224347,-105.03070606,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
2640 N Monroe Street,Denver,80205,4,2,1996,699900,2844,39.75524702,-104.94500973,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
2625 Oneida Street,Denver,80207,5,4,2645,699900,2532,39.75541892,-104.90840737,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,1,0,0,1
3586 S Holly Street,Denver,80237,4,3,2522,699000,2373,39.6507369,-104.92256427,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,0,1,0
6240 E Florida Avenue,Denver,80224,4,3,2007,698900,1249,39.68917813,-104.91571991,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
2800 S Williams Street,Denver,80210,5,2,2097,698000,2849,39.665897,-104.96628757,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,1,1,0,0
4662 S Quitman Street,Denver,80236,4,3,3437,690000,2135,39.6323382,-105.04234797,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
2601 S Quebec Street Unit 19,Denver,80231,3,4,3844,690000,1633,39.67050666,-104.90603615,500.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,1
2822 S Uinta Street,Denver,80231,3,3,2771,689970,1701,39.66602352,-104.89326005,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
1011 S Valentia Street Unit 81,Denver,80247,4,4,3030,689900,2597,39.6986819,-104.89419061,350.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,0,1,0,0,0,1
4902 W Oxford Avenue,Denver,80237,4,3,3264,689000,2114,39.64301734,-105.05000048,2.5,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
1573 S Lincoln Street,Denver,80210,3,2,1788,689000,2888,39.68808679,-104.98651751,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
8095 E Lehigh Avenue,Denver,80237,3,3,2787,685000,1429,39.6474896,-104.89512801,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
4021 King Street,Denver,80211,2,1,886,675000,2880,39.77237373,-105.03320022,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,0,0
1180 Roslyn Street,Denver,80220,3,3,1601,675000,2528,39.73533907,-104.90058866,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,0,1,0
4642 Decatur Street,Denver,80211,3,2,1723,675000,2179,39.78103629,-105.02135385,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1165 Rosemary Street,Denver,80220,4,3,2527,675000,1811,39.73482098,-104.90015301,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,0,1,0
4960 E Dartmouth Avenue,Denver,80222,3,2,2330,672000,2215,39.66070433,-104.9297367,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
1775 Quince Street,Denver,80220,3,2,1641,655900,2304,39.74510572,-104.90254308,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
8196 E Lehigh Avenue,Denver,80237,5,3,2454,655000,2253,39.64703281,-104.8938789,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,1,0,1,0
3092 S Kearney Street,Denver,80222,4,3,2774,654000,2355,39.66073338,-104.917678,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
4350 W Bellewood Drive,Denver,80123,3,2,2132,650000,2136,39.62819542,-105.04300733,0.0,Englewood 1 School District,61.99,2.94,1.12,40.56,0.27,0.41,5.03,49.69,-26.38,68592.0,1,0,0,1,0,0
2350 S Dahlia Street,Denver,80222,4,2,2509,650000,4510,39.67346964,-104.93116267,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,1,0,0
21283 E 48th Drive,Denver,80249,4,4,3783,650000,3164,39.78289833,-104.73954499,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,0,1
623 S Ivy Way,Denver,80224,4,3,1898,650000,1537,39.70440726,-104.92080434,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
5250 Highline Place,Denver,80222,3,2,1548,650000,2589,39.66012603,-104.92639517,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
1755 S Garfield Street,Denver,80210,3,2,1670,650000,2940,39.68482345,-104.94447808,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1533 E 29th Avenue,Denver,80205,4,1,1691,650000,1962,39.75847847,-104.96864027,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,0,0,0
4120 Monroe Street,Denver,80216,3,2,1459,650000,1678,39.77428259,-104.944914,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
4258 Lipan Street,Denver,80211,3,2,1255,649900,2134,39.77533861,-105.00151256,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1879 S Saint Paul Street,Denver,80210,3,2,1523,644300,2379,39.68248,-104.95121,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
4643 S Vrain Street,Denver,80236,3,3,2085,640000,2128,39.63337477,-105.04672052,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,0,1,0
1120 S Harrison Street,Denver,80210,3,2,1256,640000,2465,39.69614,-104.941544,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
4736 Federal Boulevard,Denver,80211,3,2,2500,639000,2709,39.78267304,-105.02476314,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
3921 S Uinta Street,Denver,80237,4,3,1550,639000,1830,39.64556155,-104.89394736,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,0,1,0
115 Fox Street,Denver,80223,2,2,894,630000,1520,39.71875339,-104.99549683,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
7500 E Dartmouth Avenue Unit 26,Denver,80231,3,3,2389,630000,2212,39.65931508,-104.9000382,325.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
1462 Rosemary Street,Denver,80220,3,2,1600,629999,1842,39.73980994,-104.89967371,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
4823 Tejon Street,Denver,80221,3,2,1959,629900,2080,39.78422379,-105.01154654,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
2779 W 38th Avenue,Denver,80211,3,2,2598,629900,2507,39.76952528,-105.02257527,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,1,0,0
6802 Martin Luther King Boulevard,Denver,80207,3,3,790,629000,1832,39.76160225,-104.91022873,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,0,1,0
2088 S Lincoln Street,Denver,80210,3,2,1450,629000,2383,39.67872463,-104.98612475,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
1655 S Monaco Parkway,Denver,80224,4,3,2300,626900,2149,39.68654,-104.91329,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,1,0,0,1,0
1533 E 22nd Avenue,Denver,80205,3,2,1174,625000,2135,39.74964686,-104.96867811,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1595 S Steele Street,Denver,80210,2,2,1080,620000,2394,39.68767938,-104.95138905,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,1,0,0
1420 S Birch Street,Denver,80222,3,2,1507,619000,2136,39.69072651,-104.9359761,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,1,0,0
49 W Alameda Avenue,Denver,80223,3,2,1407,615000,2543,39.71140352,-104.98884109,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,1,0,0
7900 E Dartmouth Avenue Unit 40,Denver,80231,3,3,2330,615000,2332,39.65932504,-104.89792961,325.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,1,0
3430 Dexter Street,Denver,80207,4,2,1969,615000,2448,39.76506341,-104.93287253,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
5472 Tamarac Way,Denver,80238,3,3,1666,610000,4593,39.79585905,-104.89484456,43.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
3425 S Grape Street,Denver,80222,3,2,1300,600000,2116,39.65436372,-104.92516971,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
4459 S Xavier Street,Denver,80236,3,3,1752,600000,1737,39.63650626,-105.05086,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
1056 S Pennsylvania Street,Denver,80209,2,1,1019,600000,2513,39.69749,-104.98128,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,0,0,0,0
3695 Elm Street,Denver,80207,3,2,1316,600000,1684,39.76822871,-104.92964718,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
2632 N Marion Street,Denver,80205,3,2,1429,600000,2809,39.7552015,-104.97183001,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
75 S Knox Court,Denver,80219,3,3,1552,599999,1337,39.71512197,-105.03279954,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
3883 E Montana Place,Denver,80210,3,1,1105,599900,2014,39.68427577,-104.94324319,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,0,0,0
664 S Galena Street,Denver,80247,4,3,2253,599000,1652,39.70291914,-104.86931227,4.166666666666667,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
1075 Jasmine Street,Denver,80220,2,1,1382,599000,2429,39.73218675,-104.91921644,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
2633 E 30th Avenue,Denver,80205,3,1,1280,599000,2356,39.75966132,-104.95526449,0.0,Cherry Creek 5 School District,31.32,10.96,8.53,21.0,0.58,0.26,8.19,50.48,-29.53,68592.0,1,0,0,0,0,0
8115 E Bethany Place,Denver,80231,5,3,2485,599000,2332,39.66643,-104.89489,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,0,1,0,1,0
3241 Champa Street,Denver,80205,3,3,1464,599000,2789,39.76228889,-104.97412847,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,1,0,0,0,1,0
8115 E Bethany Place,Denver,80231,5,3,2485,599000,2332,39.66642497,-104.89491614,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,1,0,1,0
2542 N Lafayette Street,Denver,80205,2,1,1126,599000,2486,39.75407175,-104.97051042,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,0,0,0,0,0
1990 S Fox Street,Denver,80223,4,2,2129,598000,2079,39.68046263,-104.99460156,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,0,1,0,1,0,0
6921 E Arkansas Avenue,Denver,80224,4,3,1758,595000,1503,39.69122694,-104.90761211,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,0,1,0,0,1,0
760 W Asbury Avenue,Denver,80223,3,2,1344,595000,2444,39.68011925,-104.99672073,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
1416 Fillmore Street,Denver,80206,2,1,1467,595000,2250,39.73868197,-104.95262736,0.0,Adams-Arapahoe 28J School District,77.81,16.37,5.28,55.53,0.74,1.07,6.08,14.92,-39.37,68592.0,0,0,0,0,0,0
3640 Kearney Street,Denver,80207,3,3,1610,595000,1592,39.76844481,-104.91720199,0.0,Jefferson County R-1 School District,37.16,1.45,2.89,26.14,0.62,0.14,4.07,64.7,-23.29,68592.0,1,0,0,0,1,0
4705 Newton Street,Denver,80211,3,2,980,592000,2408,39.78237427,-105.037276,0.0,Denver County 1 School District,65.04,12.19,2.77,53.59,0.71,0.4,3.71,26.62,-34.32,68592.0,1,0,0,1,0,0
