,address,city,zip,beds,baths,sqft,listPrice,taxes,hoaFees,hoaFreq,lat,lng,district,elementarySchool,middleSchool,highSchool
59,6511 W Ohio Avenue,Lakewood,80226,4.0,1.0,"1,625",715000,"$2,961",$0,N/A,39.7024039,-105.06947342,Jefferson County R-1,Deane,Alameda Int'l,Alameda Int'l
60,1331 Bellaire Street,Denver,80220,4.0,2.0,"1,753",715000,"$3,232",$0,N/A,39.73710114,-104.93757049,Denver 1,Palmer,Hill,East
61,5838 S Espana Street,Aurora,80015,3.0,3.0,"2,621",714900,"$3,495",$27,Monthly,39.60994,-104.76017,Cherry Creek 5,Rolling Hills,Falcon Creek,Grandview
62,17758 E Dorado Drive,Centennial,80015,5.0,4.0,"3,222",710000,"$2,672",$65,Monthly,39.61202726,-104.78356995,Cherry Creek 5,Trails West,Falcon Creek,Grandview
63,21886 E 45th Avenue,Aurora,80019,5.0,4.0,"4,176",709990,"$2,052",$0,N/A,39.77786495,-104.73246604,Adams-Arapahoe 28J,Vista Peak,Vista Peak,Vista Peak
64,4744 Raleigh Street,Denver,80212,3.0,3.0,"1,541",700000,"$1,854",$0,N/A,39.78290604,-105.04131706,Denver 1,Centennial,Skinner,North
65,660 S Monaco Parkway,Denver,80224,7.0,3.0,"3,106",700000,"$2,562",$0,N/A,39.70461975,-104.91244246,Denver 1,Denver Green,Denver Green,George Washington
66,8665 W 67th Place,Arvada,80004,5.0,3.0,"3,355",700000,"$2,062",$0,N/A,39.8192257,-105.09363528,Jefferson County R-1,Peck,Arvada K-8,Arvada
67,11 S Logan Street,Denver,80209,3.0,2.0,"1,284",700000,"$2,686",$0,N/A,39.71621812,-104.98287899,Denver 1,Dora Moore,Grant,South
68,3325 W 32nd Avenue,Denver,80211,2.0,2.0,"1,060",700000,"$2,681",$0,N/A,39.76224347,-105.03070606,Denver 1,Edison,Denver Montessori,North
69,2202 Braun Court,Golden,80401,5.0,3.0,"2,394",700000,"$3,024",$0,N/A,39.7517994,-105.14989032,Jefferson County R-1,Maple Grove,Everitt,Golden
70,642 Deframe,Golden,80401,4.0,3.0,"2,544",700000,"$1,976",$0,N/A,39.72706669,-105.15451698,Jefferson County R-1,Welchester,Bell,Golden
71,2640 N Monroe Street,Denver,80205,4.0,2.0,"1,996",699900,"$2,844",$0,N/A,39.75524702,-104.94500973,Denver 1,Columbine,Bruce Randolph,East
