schoolid,schoolName,lowGrade,highGrade,schoolLevel,rankMovement,hasBoundary,street,city,state,zip,zip4,latitude,longitude,countyName,districtName,index,numberOfStudents,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofWhiteStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,pupilTeacherRatio,year
80345001527,Eagle Academy,9,12,High,7.0,False,9375 Cresthill Lane,Highlands Ranch,CO,80130,4408,39.551262,-104.880409,Douglas County,Douglas County School District No. Re 1,176,136.0,7.35,2.21,5.15,18.38,67.65,0.74,0.0,5.88,10.6,2020.0
80345001476,Eagle Ridge Elementary School,PK,6,Elementary,-2.0,True,7716 Timberline Road,Lone Tree,CO,80124,8952,39.5474,-104.9005,Douglas County,Douglas County School District No. Re 1,177,627.0,15.47,4.15,12.44,17.54,60.77,0.32,0.16,4.63,17.6,2020.0
80291006156,Eaglecrest High School,9,12,High,-9.0,True,5100 South Picadilly Street,Centennial,CO,80015,3300,39.6243,-104.7351,Arapahoe County,Cherry Creek School District No. 5,178,3063.0,29.68,14.01,7.05,22.66,48.61,0.59,0.23,6.86,19.6,2020.0
80336000337,Eagleton Elementary School,PK,5,Elementary,65.0,True,880 N Hooker Street,Denver,CO,80204,3237,39.7307,-105.0282,Denver County,School District No. 1,179,309.0,95.15,3.24,1.29,85.44,6.15,2.27,0.0,1.62,13.5,2020.0
80690001622,Eagleview Elementary School,K,5,Elementary,37.0,True,4601 Summit Grove Parkway,Thornton,CO,80241,1557,39.937,-104.9322,Adams County,Adams 12 Five Star Schools,180,561.0,23.89,1.78,7.49,26.02,60.25,0.18,0.36,3.92,18.3,2020.0
80531000875,East Elementary School,K,5,Elementary,-122.0,True,5933 South Fairfield Street,Littleton,CO,80120,2821,39.6092,-104.9907,Arapahoe County,Littleton School District No. 6,185,283.0,60.42,3.53,4.95,57.24,31.1,0.71,0.0,2.47,11.4,2020.0
80336000338,East High School,9,12,High,14.0,True,1600 City Park Esplanade,Denver,CO,80206,1429,39.7416,-104.9557,Denver County,School District No. 1,186,2556.0,28.64,15.18,2.66,21.79,52.62,0.51,0.35,6.89,19.9,2020.0
80234000060,East Middle School,6,8,Middle,-30.0,True,1275 Fraser St,Aurora,CO,80011,7050,39.7346,-104.8138,Arapahoe County,Aurora Joint District No. 28,187,913.0,92.99,12.16,2.63,77.33,3.94,0.99,0.66,2.3,18.4,2020.0
80291000191,Eastridge Community Elementary School,PK,5,Elementary,-71.0,True,11777 East Wesley Avenue,Aurora,CO,80014,1869,39.6732,-104.8513,Arapahoe County,Cherry Creek School District No. 5,188,886.0,65.91,33.86,4.06,30.02,23.36,0.34,0.0,8.35,20.9,2020.0
80480000716,Edgewater Elementary School,PK,6,Elementary,-76.0,True,5570 West 24th Avenue,Edgewater,CO,80214,3209,39.7505,-105.0575,Jefferson County,Jefferson County School District No. R-1,189,376.0,82.18,2.39,0.27,81.91,11.97,1.06,0.0,2.39,16.7,2020.0
80336000340,Edison Elementary School,PK,5,Elementary,8.0,True,3350 Quitman Street,Denver,CO,80212,1736,39.7649,-105.0401,Denver County,School District No. 1,190,559.0,23.08,2.5,0.72,23.43,68.34,0.0,0.0,5.01,16.9,2020.0
80234006644,Edna And John W. Mosley P-8,PK,8,Elementary,-111.0,True,55 North Salida Way,Aurora,CO,80011,,39.717729,-104.787118,Arapahoe County,Aurora Joint District No. 28,191,1038.0,69.08,13.49,1.73,54.53,20.62,0.96,1.83,6.84,17.4,2020.0
80480000717,Eiber Elementary School,PK,5,Elementary,-24.0,True,1385 Independence Street,Lakewood,CO,80215,4612,39.7375,-105.1057,Jefferson County,Jefferson County School District No. R-1,192,314.0,86.62,2.87,0.96,63.69,26.75,0.96,0.96,3.82,15.1,2020.0
80249000112,Eisenhower Elementary School,K,5,Elementary,-20.0,True,1220 Eisenhower Drive,Boulder,CO,80303,1118,40.0082,-105.2339,Boulder County,Boulder Valley School District No. Re2,193,402.0,17.41,1.24,5.22,13.43,72.89,0.0,0.0,7.21,16.1,2020.0
80345001736,Eldorado Elementary School,PK,6,Elementary,36.0,True,1305 Timbervale Trail,Highlands Ranch,CO,80126,2600,39.5405,-105.0026,Douglas County,Douglas County School District No. Re 1,194,451.0,7.98,1.11,5.99,10.42,77.61,0.0,0.0,4.88,17.0,2020.0
80249001771,Eldorado K-8 School,PK,8,Elementary,39.0,True,3351 South Indiana Street,Superior,CO,80027,4668,39.9214,-105.1613,Boulder County,Boulder Valley School District No. Re2,195,841.0,7.97,0.59,8.56,8.09,74.55,0.24,0.36,7.61,18.5,2020.0
80480001500,Elk Creek Elementary School,PK,5,Elementary,-92.0,True,13304 South U S Highway 285,Pine,CO,80470,9543,39.4728,-105.3728,Jefferson County,Jefferson County School District No. R-1,196,389.0,16.2,0.0,0.77,7.97,85.86,0.51,0.0,4.88,18.7,2020.0
80234000061,Elkhart Elementary School,PK,5,Elementary,48.0,True,1020 Eagle St,Aurora,CO,80011,6902,39.7316,-104.8153,Arapahoe County,Aurora Joint District No. 28,197,569.0,92.62,15.47,5.8,68.54,4.75,0.7,0.53,4.22,16.2,2020.0
80336000341,Ellis Elementary School,PK,5,Elementary,-197.0,True,1651 South Dahlia Street,Denver,CO,80222,3817,39.687,-104.9324,Denver County,School District No. 1,198,388.0,78.87,11.34,2.58,55.15,27.32,0.77,0.0,2.84,12.5,2020.0
80249000113,Emerald Elementary School,PK,5,Elementary,97.0,True,755 W. Elmhurst Place,Broomfield,CO,80020,2222,39.9205,-105.0785,Broomfield County,Boulder Valley School District No. Re2,199,429.0,46.85,4.43,5.59,36.13,47.79,1.17,0.0,4.9,14.9,2020.0
80336000345,Emily Griffith High School,9,12,High,-6.0,False,1860 Lincoln St.,Denver,CO,80203,2124,39.74575,-104.985751,Denver County,School District No. 1,200,385.0,73.77,20.0,1.56,58.7,15.58,0.78,0.52,2.86,20.2,2020.0
80480000785,Emory Elementary School,K,6,Elementary,-46.0,True,1275 South Teller Street,Lakewood,CO,80232,2044,39.69497,-105.077721,Jefferson County,Jefferson County School District No. R-1,201,441.0,87.98,0.91,0.91,84.35,11.11,0.45,0.0,2.27,13.9,2020.0
80291006649,Endeavor Academy,9,12,High,15.0,True,14076 East Briarwood Ave,Centennial,CO,80112,6907,39.591667,-104.824987,Arapahoe County,Cherry Creek School District No. 5,202,283.0,46.64,12.72,2.12,33.92,45.23,0.71,0.71,4.59,12.4,2020.0
