property_code,address_1,city,state,zipcode,beds,baths,sqft,market_rent,lat,lng,districtMatch,estimatedPrice,annualTaxes,costofMoney,maintenance,management,ROI,RentperSqFt,percentFreeDiscLunch,percentofAfricanAmericanStudents,percentofAsianStudents,percentofHispanicStudents,percentofIndianStudents,percentofPacificIslanderStudents,percentofTwoOrMoreRaceStudents,percentofWhiteStudents,rankMovement
10003845,1320 Bluebird St,Brighton,CO,80601,3,2.0,1470,2246.0,39.96678,-104.83774,Brighton 27J School District,405180.0,2269.0,16207.2,3369.0,2156.16,2950.6399999999994,1.53,44.028888888888886,2.2016666666666667,2.924444444444445,53.73777777777777,0.3066666666666667,0.1738888888888889,2.99888888888889,37.654444444444444,-48.05555555555556
10004110,1361 Mallard Ln,Brighton,CO,80601,3,2.0,1470,2275.0,39.97163,-104.8379,Brighton 27J School District,350615.0,1963.0,14024.6,3412.5,2184.0,5715.9000000000015,1.55,44.028888888888886,2.2016666666666667,2.924444444444445,53.73777777777777,0.3066666666666667,0.1738888888888889,2.99888888888889,37.654444444444444,-48.05555555555556
10006119,14705 E Harvard Ave,Aurora,CO,80014,3,2.0,1327,2358.0,39.67106,-104.81664,Adams-Arapahoe 28J School District,432910.0,2424.0,17316.4,3537.0,2263.68,2754.9199999999983,1.78,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10006550,15381 E Arkansas Pl,Aurora,CO,80017,3,2.0,1296,2249.0,39.69101,-104.80859,Adams-Arapahoe 28J School District,324633.65,1818.0,12985.35,3373.5,2159.04,6652.110000000001,1.74,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10006818,1597 S Uvalda St,Aurora,CO,80012,4,2.0,1976,2604.0,39.68714,-104.83808,Adams-Arapahoe 28J School District,414829.95,2323.0,16593.2,3906.0,2499.84,5925.959999999999,1.32,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10007912,17739 Biscuit Root Dr,Parker,CO,80134,4,3.0,1670,2178.0,39.55575,-104.78287,Douglas County RE 1 School District,348050.0,1949.0,13922.0,3267.0,2090.88,4907.119999999999,1.3,10.782600000000002,1.2924,4.6368,13.5866,0.4134,0.10700000000000001,5.688199999999999,74.27559999999997,10.24
10008216,18290 E Hampden Pl,Aurora,CO,80013,5,4.0,2900,3095.0,39.65272,-104.77647,Cherry Creek 5 School District,319989.95,1792.0,12799.6,4642.5,2971.2000000000003,14934.699999999995,1.07,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10008339,18524 E Layton Pl,Aurora,CO,80015,5,2.0,1736,2845.0,39.62718,-104.77315,Cherry Creek 5 School District,362319.95,2029.0,14492.8,4267.5,2731.2000000000003,10619.5,1.64,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10008406,18753 E Utah Cir,Aurora,CO,80017,4,2.5,1622,2550.0,39.68331,-104.76979,Adams-Arapahoe 28J School District,335040.0,1876.0,13401.6,3825.0,2448.0,9049.4,1.57,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10008641,19176 E Oberlin Dr,Aurora,CO,80013,3,2.0,1800,2545.0,39.64047,-104.76544,Cherry Creek 5 School District,399020.0,2235.0,15960.8,3817.5,2443.2000000000003,6083.5,1.41,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10008753,19393 E Purdue Cir,Aurora,CO,80013,3,1.0,1230,2125.0,39.63917,-104.76173,Cherry Creek 5 School District,412938.25,2312.0,16517.53,3187.5,2040.0,1442.9700000000012,1.73,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10010266,2094 S Pagosa St,Aurora,CO,80013,5,3.0,2032,2575.0,39.67825,-104.78999,Adams-Arapahoe 28J School District,381124.95,2134.0,15245.0,3862.5,2472.0,7186.5,1.27,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10012896,2774 S Cathay Way,Aurora,CO,80013,4,4.0,2000,2645.0,39.6668,-104.7664,Cherry Creek 5 School District,350027.6,1960.0,14001.1,3967.5,2539.2000000000003,9272.199999999995,1.32,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10013434,2853 S Biscay Ct,Aurora,CO,80013,3,3.0,2175,2729.0,39.66289,-104.76883,Cherry Creek 5 School District,425825.05,2385.0,17033.0,4093.5,2619.84,6616.66,1.25,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10013527,2861 S Genoa St,Aurora,CO,80013,3,2.0,1920,2520.0,39.66526,-104.75811,Cherry Creek 5 School District,390337.5,2186.0,15613.5,3780.0,2419.2000000000003,6241.299999999999,1.31,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10013568,2881 S Olathe Ct,Aurora,CO,80013,4,3.0,1965,2540.0,39.66349,-104.79249,Adams-Arapahoe 28J School District,389870.0,2183.0,15594.8,3810.0,2438.4,6453.800000000003,1.29,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
10013730,2924 S Argonne St,Aurora,CO,80013,3,2.0,1470,2573.0,39.66288,-104.76991,Cherry Creek 5 School District,424182.45,2375.0,16967.3,3859.5,2470.08,5204.120000000003,1.75,31.316206896551716,10.956379310344833,8.528620689655174,20.997586206896553,0.5799999999999998,0.26362068965517244,8.194137931034483,50.48,-29.53448275862069
10013807,2956 S Jasper St,Aurora,CO,80013,4,2.0,2016,2585.0,39.66266,-104.8055,Adams-Arapahoe 28J School District,390635.0,2188.0,15625.4,3877.5,2481.6,6847.5,1.28,77.80837209302327,16.370465116279068,5.282325581395349,55.53395348837209,0.7425581395348836,1.0704651162790697,6.084186046511626,14.91813953488372,-39.372093023255815
